scenario,records,characters,definition_characters,off_ms,on_ms,added_ms,added_percent,prefixes,text_candidates,extra_index_requests,extra_raw_rows,intermediate_matches
prefix-0,0,22,1024,1.5,3.099999964237213,1.5999999642372131,106.66666428248088,38,56,76,0,0
prefix-1,1,22,1024,1.5,2.800000011920929,1.300000011920929,86.66666746139526,38,56,76,1,1
prefix-3,3,22,1024,1.5,2.900000035762787,1.4000000357627869,93.33333571751912,38,56,76,3,1
prefix-5,5,22,1024,1.699999988079071,3.199999988079071,1.5,88.2352947363804,38,56,76,5,1
prefix-10,10,22,1024,1.600000023841858,3.5,1.899999976158142,118.74999674037103,38,56,76,10,1
prefix-20,20,22,1024,1.600000023841858,3.199999988079071,1.5999999642372131,99.99999627470976,38,56,76,20,1
prefix-50,50,22,1024,1.899999976158142,3.5,1.600000023841858,84.21052862732698,38,56,76,50,1
prefix-100,100,22,1024,2,4,2,100.0,38,56,76,100,1
length-16-n0,0,16,1024,1,2.199999988079071,1.199999988079071,119.9999988079071,26,35,52,0,0
length-16-n5,5,16,1024,1,2,1,100.0,26,35,52,5,0
length-32-n0,0,32,1024,2.699999988079071,5.199999988079071,2.5,92.5925930014036,72,101,144,0,0
length-32-n5,5,32,1024,2.800000011920929,5.300000011920929,2.5,89.28571390558263,72,101,144,5,0
length-64-n0,0,64,1024,7.400000035762787,14.100000023841858,6.699999988079071,90.54053994188176,198,265,396,0,0
length-64-n5,5,64,1024,7.5,14.099999964237213,6.599999964237213,87.99999952316284,198,265,396,5,0
length-96-n0,0,96,1024,12.700000047683716,25.899999976158142,13.199999928474426,103.93700692057794,326,425,652,0,0
length-96-n5,5,96,1024,12.800000011920929,26.299999952316284,13.499999940395355,105.46874943611328,326,425,652,5,0
definition-256,5,22,256,1.5,3.199999988079071,1.699999988079071,113.33333253860474,38,56,76,5,1
definition-1024,5,22,1024,1.5999999642372131,3.299999952316284,1.699999988079071,106.25000162981455,38,56,76,5,1
definition-5120,5,22,5120,1.699999988079071,3.299999952316284,1.5999999642372131,94.1176456151124,38,56,76,5,1
definition-20480,5,22,20480,1.600000023841858,3.399999976158142,1.7999999523162842,112.4999953433872,38,56,76,5,1
all-match-5,5,22,1024,1.5999999642372131,3.200000047683716,1.6000000834465027,100.00000745058077,38,56,76,5,5
both-indexes-5,5,22,1024,1.5,3.099999964237213,1.5999999642372131,106.66666428248088,38,56,76,10,5
disabled-5,5,22,1024,1.5,3,1.5,100.0,38,56,76,5,0
no-matches-5,5,22,1024,1.5,2.900000035762787,1.4000000357627869,93.33333571751912,38,56,76,5,0
unrelated-100,100,22,1024,1.699999988079071,3.199999988079071,1.5,88.2352947363804,38,56,76,0,0
natural-5-short,5,32,1024,5.5,8.199999988079071,2.699999988079071,49.09090887416493,112,184,224,5,1
natural-5-long,5,70,1024,11.299999952316284,19.600000023841858,8.300000071525574,73.45132837654775,264,376,528,5,1
natural-5-repeated,5,41,1024,6.300000011920929,10.300000011920929,4.0,63.492063371923116,148,217,296,5,2
